id,frame,seconds,timestamp,path,confidence
1,437,265.35065207481387,10:26:21-2022-06-17,./cropped_detections\vehicle_1.png,0.6984686255455017
6,456,277.28749952316286,10:26:33-2022-06-17,./cropped_detections\vehicle_6.png,0.7359653115272522
7,570,349.2677478790283,10:27:45-2022-06-17,./cropped_detections\vehicle_7.png,0.8699284791946411
9,817,513.1465596079826,10:30:29-2022-06-17,./cropped_detections\vehicle_9.png,0.9218441247940063
17,1805,1146.4974837303162,10:41:02-2022-06-17,./cropped_detections\vehicle_17.png,0.8825246691703796
24,2755,2087.1903906464577,10:56:43-2022-06-17,./cropped_detections\vehicle_24.png,0.8611934781074524
25,2869,2195.38388941288,10:58:31-2022-06-17,./cropped_detections\vehicle_25.png,0.9806716442108154
33,3971,3021.4927030563354,11:12:17-2022-06-17,./cropped_detections\vehicle_33.png,0.7055910229682922
51,6327,4947.714184033871,11:44:23-2022-06-17,./cropped_detections\vehicle_51.png,0.6586335301399231
54,6745,5133.46789419651,11:47:29-2022-06-17,./cropped_detections\vehicle_54.png,0.8417447805404663
55,6688,5189.777332305908,11:48:25-2022-06-17,./cropped_detections\vehicle_55.png,0.8744235038757324
56,6992,5340.296983528137,11:50:56-2022-06-17,./cropped_detections\vehicle_56.png,0.7511051297187805
59,7201,5457.249287760258,11:52:53-2022-06-17,./cropped_detections\vehicle_59.png,0.8334228992462158
63,7638,5738.147420525551,11:57:34-2022-06-17,./cropped_detections\vehicle_63.png,0.7999970316886902
78,10165,9636.653404831886,13:02:32-2022-06-17,./cropped_detections\vehicle_78.png,0.7109360098838806
84,11153,11771.672351610661,13:38:07-2022-06-17,./cropped_detections\vehicle_84.png,0.7817869782447815
85,11704,8776.460787200927,12:48:12-2022-06-17,./cropped_detections\vehicle_85.png,0.9213257431983948
